id,date,time,kind,slot,type,sourceFile,titleOrHook,status
2026-04-30-post-06,2026-04-30,12:13,post,6,VERTICAL_HOOK,linkedin-output/2026-04-30/posts.md,"A church that receives a USDA Community Food Projects grant cannot spend a single grant dollar on worship services, religious instruction, or staff time supporting religious activities — even if the food pantry runs out of the same building.",scheduled
2026-04-30-post-07,2026-04-30,13:37,post,7,FREE_RESOURCE,linkedin-output/2026-04-30/posts.md,Federal grant closeout is not a single event. It starts 90 days before the period of performance ends and continues for 3 to 7 years after the grant formally closes.,scheduled
2026-04-30-post-08,2026-04-30,15:01,post,8,COMPARISON_INSIGHT,linkedin-output/2026-04-30/posts.md,Bloomerang at $125-$249 per month versus Keela at $99-$299 per month. Both target the under-$300 mid-market. Both ship modern donor CRMs. Neither handles grant compliance.,scheduled
2026-04-30-article,2026-04-30,16:25,article,,ARTICLE,linkedin-output/2026-04-30/article.md,Time and Effort Certification: The Federal Grant Compliance Step Most Nonprofits Get Wrong,pending
2026-04-30-post-09,2026-04-30,17:49,post,9,QUESTION_POST,linkedin-output/2026-04-30/posts.md,Program directors own program outcomes and the budget that funds them — usually with no formal finance training and no purpose-built tool for the budget-to-delivery connection.,scheduled
2026-04-30-post-10,2026-04-30,19:13,post,10,PRODUCT_INSIGHT,linkedin-output/2026-04-30/posts.md,"Under 2 CFR 200.430, payroll charges to federal awards must be supported by after-the-fact records reflecting actual time worked — not budget percentages. Personnel costs are 65-75% of expenditures on most human services awards and the largest single category of disallowed costs in federal Single Audits.",scheduled
2026-05-01-post-01,2026-05-01,05:13,post,1,stat_bomb,linkedin-output/2026-05-01/posts.md,"The 2024 Uniform Guidance revision raised the federal single audit threshold to $1,000,000 in federal expenditures.",scheduled
2026-05-01-post-02,2026-05-01,06:37,post,2,myth_buster,linkedin-output/2026-05-01/posts.md,Program service revenue is not unrelated business income.,scheduled
2026-05-01-post-03,2026-05-01,08:01,post,3,workflow_step,linkedin-output/2026-05-01/posts.md,"For advance federal awards, interest earned above $500 per year across all awards must be remitted annually to HHS PSC under 2 CFR 200.305(b)(9).",scheduled
2026-05-01-post-04,2026-05-01,09:25,post,4,term_explained,linkedin-output/2026-05-01/posts.md,Questioned costs.,scheduled
2026-05-01-post-05,2026-05-01,10:49,post,5,tool_teardown,linkedin-output/2026-05-01/posts.md,"Bloomerang is a well-designed donor CRM. The retention analytics, constituent timeline, and lapse-tracking tools were built around a real insight: nonprofits lose nearly half their donors every year, and retention is where development economics get solved.",scheduled
2026-05-01-post-06,2026-05-01,12:13,post,6,vertical_hook,linkedin-output/2026-05-01/posts.md,A mature Federally Qualified Health Center typically manages 15 to 20 simultaneous federal and state awards.,scheduled
2026-05-01-post-07,2026-05-01,13:37,post,7,free_resource,linkedin-output/2026-05-01/posts.md,"A grant that projects $40,000 unspent with two months remaining is not a financial planning problem. It is a compliance problem that requires action now.",scheduled
2026-05-01-post-08,2026-05-01,15:01,post,8,comparison_insight,linkedin-output/2026-05-01/posts.md,Givebutter and GrantPipe solve different problems. Putting them head to head only makes sense once you know which problem you actually have.,scheduled
2026-05-01-article,2026-05-01,16:25,article,,ARTICLE,linkedin-output/2026-05-01/article.md,"Form 990 Filing: What Mid-Sized Nonprofits Get Wrong, and How to Fix It Before May 15",pending
2026-05-01-post-09,2026-05-01,17:49,post,9,question_post,linkedin-output/2026-05-01/posts.md,"A $3M nonprofit typically runs Bloomerang for donors, QuickBooks Online for accounting, a spreadsheet for grants, Google Workspace for documents, and a separate payroll system.",scheduled
2026-05-01-post-10,2026-05-01,19:13,post,10,product_insight,linkedin-output/2026-05-01/posts.md,The board asks: how much of the Smith Foundation grant is left.,scheduled
2026-05-02-post-01,2026-05-02,05:13,post,1,STAT_BOMB,linkedin-output/2026-05-02/posts.md,"The micro-purchase threshold under 2 CFR 200.320(a)(1) is $10,000. The simplified acquisition threshold is $250,000.",scheduled
2026-05-02-post-02,2026-05-02,06:37,post,2,MYTH_BUSTER,linkedin-output/2026-05-02/posts.md,Myth: DonorPerfect handles grant compliance because it has a grant tracking module.,scheduled
2026-05-02-post-03,2026-05-02,08:01,post,3,WORKFLOW_STEP,linkedin-output/2026-05-02/posts.md,Address loan and loan guarantee programs separately on the SEFA.,scheduled
2026-05-02-post-04,2026-05-02,09:25,post,4,TERM_EXPLAINED,linkedin-output/2026-05-02/posts.md,Schedule A is the Form 990 attachment where 501(c)(3) organizations prove they qualify as a public charity under IRC Section 509(a).,scheduled
2026-05-02-post-05,2026-05-02,10:49,post,5,TOOL_TEARDOWN,linkedin-output/2026-05-02/posts.md,"Donorbox at $300,000/year in donations costs $5,250 in platform fees alone. At $400,000/year it costs $7,000.",scheduled
2026-05-02-post-06,2026-05-02,12:13,post,6,VERTICAL_HOOK,linkedin-output/2026-05-02/posts.md,The National Endowment for the Arts awarded $147 million in fiscal year 2023. State arts agencies collectively distribute around $500 million annually through state appropriations and NEA grants-to-states.,scheduled
2026-05-02-post-07,2026-05-02,13:37,post,7,FREE_RESOURCE,linkedin-output/2026-05-02/posts.md,"A loaded hourly rate calculation: annual salary divided by 2,080 hours, multiplied by 1.30 for benefits and payroll tax. A $60,000 finance coordinator costs the organization roughly $37.50 per hour.",scheduled
2026-05-02-post-08,2026-05-02,15:01,post,8,COMPARISON_INSIGHT,linkedin-output/2026-05-02/posts.md,Bloomerang starts at $125/month. Little Green Light starts at $39/month. Neither manages grants.,scheduled
2026-05-02-article,2026-05-02,16:25,article,,ARTICLE,linkedin-output/2026-05-02/article.md,SEFA Preparation Checklist: Where 80% of Single Audit Findings Originate,pending
2026-05-02-post-09,2026-05-02,17:49,post,9,QUESTION_POST,linkedin-output/2026-05-02/posts.md,"A question for executive directors at $500K-$10M nonprofits: how long does board prep currently take, and how many systems does the staff touch to assemble the packet?",manual_follow_up
2026-05-02-post-10,2026-05-02,19:13,post,10,PRODUCT_INSIGHT,linkedin-output/2026-05-02/posts.md,Approximately 30% of nonprofits with revenues over $1M operate more than one related legal entity per IRS Statistics of Income data.,scheduled
2026-05-03-post-01,2026-05-03,05:13,post,1,stat_bomb,linkedin-output/2026-05-03/posts.md,"A $50,000 grant with $10,000 in compliance overhead is a $40,000 net grant.",scheduled
2026-05-03-post-02,2026-05-03,06:37,post,2,myth_buster,linkedin-output/2026-05-03/posts.md,Myth: eCivis is the obvious choice once a nonprofit grows past spreadsheets.,scheduled
2026-05-03-post-03,2026-05-03,08:01,post,3,workflow_step,linkedin-output/2026-05-03/posts.md,"The SF-SAC has two certifications, and missing either one keeps the submission in draft.",scheduled
2026-05-03-post-04,2026-05-03,09:25,post,4,term_explained,linkedin-output/2026-05-03/posts.md,"The de minimis indirect cost rate is 15% of MTDC, raised from 10% by the 2024 Uniform Guidance revision under 2 CFR 200.414(f).",scheduled
2026-05-03-post-05,2026-05-03,10:49,post,5,tool_teardown,linkedin-output/2026-05-03/posts.md,"Neon CRM handles donors, members, and event registration in one platform — a fit for organizations running fundraising galas, membership drives, and giving days simultaneously.",scheduled
2026-05-03-post-06,2026-05-03,12:13,post,6,vertical_hook,linkedin-output/2026-05-03/posts.md,"A mid-sized homeless shelter manages 8-12 simultaneous funding streams: HUD ESG, HUD Continuum of Care, CDBG sub-allocations, state housing authority grants, county homelessness funds, United Way, and three or four foundation awards.",scheduled
2026-05-03-post-07,2026-05-03,13:37,post,7,free_resource,linkedin-output/2026-05-03/posts.md,"Most development directors at mid-sized nonprofits manage 10-30 active grants. Each grant has its own reporting schedule, format, and renewal timeline. That is 60-100 deadline events per year for an 8-funder portfolio.",scheduled
2026-05-03-post-08,2026-05-03,15:01,post,8,comparison_insight,linkedin-output/2026-05-03/posts.md,"Blackbaud vs Bloomerang is a comparison between two operating assumptions, not two products.",scheduled
2026-05-03-article,2026-05-03,16:25,article,,ARTICLE,linkedin-output/2026-05-03/article.md,How to Calculate Donor Retention Rate (With Formula and Example),pending
2026-05-03-post-09,2026-05-03,17:49,post,9,question_post,linkedin-output/2026-05-03/posts.md,"A grants manager at a mid-sized nonprofit typically owns 10 to 40 active awards across HHS, USDA, DOJ, state pass-throughs, and private foundations.",scheduled
2026-05-03-post-10,2026-05-03,19:13,post,10,product_insight,linkedin-output/2026-05-03/posts.md,NTEN's 2024 Security Survey found 46% of nonprofits reported a data breach or unauthorized access incident in the past three years. Improper access controls were the leading contributing factor.,scheduled
2026-05-04-post-01,2026-05-04,05:13,post,1,STAT_BOMB,linkedin-output/2026-05-04/posts.md,"The 2024 OMB revision raised the Single Audit threshold to $1,000,000 — effective for fiscal years ending September 30, 2025 or later.",scheduled
2026-05-04-post-02,2026-05-04,06:37,post,2,MYTH_BUSTER,linkedin-output/2026-05-04/posts.md,Myth: entering the grant award amount in your system means the award is set up.,scheduled
2026-05-04-post-03,2026-05-04,08:01,post,3,WORKFLOW_STEP,linkedin-output/2026-05-04/posts.md,Program income Step 3 under 2 CFR 200.307: establish the tracking ledger before any income-generating activity begins.,scheduled
2026-05-04-post-04,2026-05-04,09:25,post,4,TERM_EXPLAINED,linkedin-output/2026-05-04/posts.md,Net assets without donor restrictions is not the same as cash available.,scheduled
2026-05-04-post-05,2026-05-04,10:49,post,5,TOOL_TEARDOWN,linkedin-output/2026-05-04/posts.md,"Network for Good was acquired by Bonterra in 2022, alongside EveryAction, CommunityForce, and Social Solutions.",scheduled
2026-05-04-post-06,2026-05-04,12:13,post,6,VERTICAL_HOOK,linkedin-output/2026-05-04/posts.md,VAWA grantees cannot maintain grant files that link identifiable survivor information to service records accessible to outside reviewers.,scheduled
2026-05-04-post-07,2026-05-04,13:37,post,7,FREE_RESOURCE,linkedin-output/2026-05-04/posts.md,"Grant compliance failures happen after the award, not during the application.",scheduled
2026-05-04-post-08,2026-05-04,15:01,post,8,COMPARISON_INSIGHT,linkedin-output/2026-05-04/posts.md,Keela ($99–$299/month) and Bloomerang ($125–$249/month) compete directly in the mid-market nonprofit CRM space. Both are cloud-native. Both position as simpler alternatives to Salesforce and Blackbaud.,scheduled
2026-05-04-article,2026-05-04,16:25,article,,ARTICLE,linkedin-output/2026-05-04/article.md,Net Asset Releases: The Accounting Entry Nonprofits Most Often Get Wrong,pending
2026-05-04-post-09,2026-05-04,17:49,post,9,QUESTION_POST,linkedin-output/2026-05-04/posts.md,Development directors at $2M–$10M nonprofits typically carry 40 to 120 major donor prospects in active moves management alongside 8 to 25 active grants at any given time.,scheduled
2026-05-04-post-10,2026-05-04,19:13,post,10,PRODUCT_INSIGHT,linkedin-output/2026-05-04/posts.md,"Foundations cite inconsistent reporting compliance as the most common non-programmatic reason for declining grant renewals, according to a 2023 Candid funder survey.",scheduled
2026-05-05-post-01,2026-05-05,05:13,post,1,STAT_BOMB,linkedin-output/2026-05-05/posts.md,Salesforce licensing is 5–15% of what mid-sized nonprofits actually pay to run it.,scheduled
2026-05-05-post-02,2026-05-05,06:37,post,2,MYTH_BUSTER,linkedin-output/2026-05-05/posts.md,"""We manage grants in spreadsheets and it works fine.""",scheduled
2026-05-05-post-03,2026-05-05,08:01,post,3,WORKFLOW_STEP,linkedin-output/2026-05-05/posts.md,A Single Audit finding is not a disaster. A weak Corrective Action Plan response is.,scheduled
2026-05-05-post-04,2026-05-05,09:25,post,4,TERM_EXPLAINED,linkedin-output/2026-05-05/posts.md,Matching funds: the term nonprofits misunderstand most often.,scheduled
2026-05-05-post-05,2026-05-05,10:49,post,5,TOOL_TEARDOWN,linkedin-output/2026-05-05/posts.md,Classy is a fundraising platform. GoFundMe acquired it in 2022 for $484 million.,scheduled
2026-05-05-post-06,2026-05-05,12:13,post,6,VERTICAL_HOOK,linkedin-output/2026-05-05/posts.md,WIOA requires tracking employment outcomes at the 2nd and 4th quarter after program exit.,scheduled
2026-05-05-post-07,2026-05-05,13:37,post,7,FREE_RESOURCE,linkedin-output/2026-05-05/posts.md,"Single audit preparation takes months, not the two weeks before fieldwork most organizations actually use.",scheduled
2026-05-05-post-08,2026-05-05,15:01,post,8,COMPARISON_INSIGHT,linkedin-output/2026-05-05/posts.md,Neon CRM opens lower, while GrantPipe starts at $329/month. The gap appears when you activate what you actually need.,scheduled
2026-05-05-article,2026-05-05,16:25,article,,ARTICLE,linkedin-output/2026-05-05/article.md,The SF-SAC Dual-Signature Trap: Why Single Audits Sit Unfiled Past the 30-Day Deadline,pending
2026-05-05-post-09,2026-05-05,17:49,post,9,LIST_POST,linkedin-output/2026-05-05/posts.md,Five signs your nonprofit's restricted fund tracking is creating audit risk:,scheduled
2026-05-05-post-10,2026-05-05,19:13,post,10,PRODUCT_INSIGHT,linkedin-output/2026-05-05/posts.md,Funder reports are late almost never because the deadline was missed. They are late because assembly takes longer than the reporting window.,scheduled
2026-05-06-post-01,2026-05-06,05:13,post,1,STAT_BOMB,linkedin-output/2026-05-06/posts.md,"1,400 Section 330 grantees served 31.5 million patients in 2023 — each one subject to 19 program requirements, an annual UDS report due February 15, and an Operational Site Visit that tests all three compliance systems simultaneously.",scheduled
2026-05-06-post-02,2026-05-06,06:37,post,2,MYTH_BUSTER,linkedin-output/2026-05-06/posts.md,"eCivis is not a nonprofit CRM — it is a government grants administration platform, and the distinction matters before you sign a contract.",scheduled
2026-05-06-post-03,2026-05-06,08:01,post,3,WORKFLOW_STEP,linkedin-output/2026-05-06/posts.md,"Booking a pledge write-off as bad debt expense is one of the most common accounting errors in nonprofit finance — and under FASB ASC 958, it is wrong.",scheduled
2026-05-06-post-04,2026-05-06,09:25,post,4,TERM_EXPLAINED,linkedin-output/2026-05-06/posts.md,"The SF-425 Federal Financial Report is not a routine form. It is a compliance obligation submitted under the False Claims Act, and one specific error accounts for most of the findings it generates.",scheduled
2026-05-06-post-05,2026-05-06,10:49,post,5,TOOL_TEARDOWN,linkedin-output/2026-05-06/posts.md,DonorPerfect has a 93 percent customer retention rate and an average customer tenure of 13 years. Those numbers are real. They also explain why the pricing and feature gaps do not get fixed faster.,scheduled
2026-05-06-post-06,2026-05-06,12:13,post,6,VERTICAL_HOOK,linkedin-output/2026-05-06/posts.md,"USDA Rural Development administers over $20 billion in loans, loan guarantees, and grants annually across three mission areas — and each program has its own authorizing statute, compliance requirements, and eligible activity definitions.",scheduled
2026-05-06-post-07,2026-05-06,13:37,post,7,FREE_RESOURCE,linkedin-output/2026-05-06/posts.md,CRM migrations fail at the field mapping step or the data quality step — not the software step.,scheduled
2026-05-06-post-08,2026-05-06,15:01,post,8,COMPARISON_INSIGHT,linkedin-output/2026-05-06/posts.md,Keela and Little Green Light occupy the same tier of the nonprofit CRM market and solve different versions of the same problem. The decision is simpler than most comparison posts make it.,scheduled
2026-05-06-article,2026-05-06,16:25,article,,ARTICLE,linkedin-output/2026-05-06/article.md,How to Justify Nonprofit Software Costs to Your Board,pending
2026-05-06-post-09,2026-05-06,17:49,post,9,LIST_POST,linkedin-output/2026-05-06/posts.md,10 nonprofit CRMs evaluated for grant management. Most of the list disqualifies itself in one sentence.,scheduled
2026-05-06-post-10,2026-05-06,19:13,post,10,PRODUCT_INSIGHT,linkedin-output/2026-05-06/posts.md,The AFP Fundraising Effectiveness Project reports overall donor retention at approximately 43 percent sector-wide. New-donor retention runs around 20 to 25 percent. The gap between those two numbers is where most development programs leak.,scheduled
2026-05-07-post-01,2026-05-07,05:13,post,1,STAT_BOMB,linkedin-output/2026-05-07/posts.md,Salesforce licensing is only 5-15% of what a nonprofit actually spends on the platform.,scheduled
2026-05-07-post-02,2026-05-07,06:37,post,2,MYTH_BUSTER,linkedin-output/2026-05-07/posts.md,Myth: a nonprofit on cash-basis books can report to federal agencies the same way it reports internally.,scheduled
2026-05-07-post-03,2026-05-07,08:01,post,3,WORKFLOW_STEP,linkedin-output/2026-05-07/posts.md,A post-closeout cost transfer on a federal grant requires written authorization from the awarding agency before any journal entry is booked.,scheduled
2026-05-07-post-04,2026-05-07,09:25,post,4,TERM_EXPLAINED,linkedin-output/2026-05-07/posts.md,"Post-award grant management is not the glamorous half of the grants function. Pre-award — prospecting, writing, submitting — has a clear narrative arc. Post-award is the operational discipline that runs quietly in the background for months or years.",scheduled
2026-05-07-post-05,2026-05-07,10:49,post,5,TOOL_TEARDOWN,linkedin-output/2026-05-07/posts.md,"Instrumentl's entry plan starts at $299/month on annual billing. That is the Discover tier: grant discovery, funder research profiles, deadline tracking, and a starter pipeline for up to 3 users.",scheduled
2026-05-07-post-06,2026-05-07,12:13,post,6,VERTICAL_HOOK,linkedin-output/2026-05-07/posts.md,After-school nonprofits managing 21st Century Community Learning Centers grants face a quarterly reporting requirement that no standard donor CRM or general-purpose accounting system was built to handle.,scheduled
2026-05-07-post-07,2026-05-07,13:37,post,7,FREE_RESOURCE,linkedin-output/2026-05-07/posts.md,The SF-425 Federal Financial Report is not complicated. It becomes complicated when the person completing it is working from incomplete data.,scheduled
2026-05-07-post-08,2026-05-07,15:01,post,8,COMPARISON_INSIGHT,linkedin-output/2026-05-07/posts.md,"""Grant management software"" describes two different products solving opposite problems, and buyers confuse them constantly.",scheduled
2026-05-07-article,2026-05-07,16:25,article,,ARTICLE,linkedin-output/2026-05-07/article.md,How to Build a Grant Prospecting Workflow That Does Not Waste Staff Time,pending
2026-05-07-post-09,2026-05-07,17:49,post,9,LIST_POST,linkedin-output/2026-05-07/posts.md,"Five things to confirm before committing to a grant management platform — from a development director's daily workflow, not a feature checklist.",scheduled
2026-05-07-post-10,2026-05-07,19:13,post,10,PRODUCT_INSIGHT,linkedin-output/2026-05-07/posts.md,"DAF giving now accounts for approximately 22% of all individual giving in the US, with Fidelity Charitable, Schwab Charitable, and Vanguard Charitable together distributing over $25 billion annually.",scheduled
2026-05-08-post-01,2026-05-08,05:13,post,1,STAT_BOMB,linkedin-output/2026-05-08/posts.md,The median nonprofit spends 30+ hours of cumulative staff time managing compliance for a single grant.,scheduled
2026-05-08-post-02,2026-05-08,06:37,post,2,MYTH_BUSTER,linkedin-output/2026-05-08/posts.md,"Myth: if a cost is in the grant budget, it is allowable on a federal award.",scheduled
2026-05-08-post-03,2026-05-08,08:01,post,3,WORKFLOW_STEP,linkedin-output/2026-05-08/posts.md,The most common subaward budget modification error is not forgetting to file paperwork. It is approving a change before checking who actually has the authority to approve it.,scheduled
2026-05-08-post-04,2026-05-08,09:25,post,4,TERM_EXPLAINED,linkedin-output/2026-05-08/posts.md,The OMB Compliance Supplement is the document auditors use to decide what to test in your federal programs. Most nonprofit staff have never read it.,scheduled
2026-05-08-post-05,2026-05-08,10:49,post,5,TOOL_TEARDOWN,linkedin-output/2026-05-08/posts.md,"Kindful was acquired by Bloomerang in June 2021. Since then, active product development has moved to the Bloomerang platform. Kindful receives maintenance support. It does not receive new features.",scheduled
2026-05-08-post-06,2026-05-08,12:13,post,6,VERTICAL_HOOK,linkedin-output/2026-05-08/posts.md,"EPA awarded approximately $3.6 billion in environmental justice grants under the Inflation Reduction Act. Individual nonprofit grants ranged from $100,000 to $20 million.",scheduled
2026-05-08-post-07,2026-05-08,13:37,post,7,FREE_RESOURCE,linkedin-output/2026-05-08/posts.md,"Before issuing a sub-award, the first question to answer in writing is: is this organization a subrecipient or a contractor?",scheduled
2026-05-08-post-08,2026-05-08,15:01,post,8,COMPARISON_INSIGHT,linkedin-output/2026-05-08/posts.md,"Salesforce's Power of Us program provides 10 free Enterprise Edition licenses to qualifying nonprofits. Those licenses are the beginning of the cost, not the summary of it.",scheduled
2026-05-08-article,2026-05-08,16:25,article,,ARTICLE,linkedin-output/2026-05-08/article.md,What Donor Retention Reports Should Actually Tell Your Board,pending
2026-05-08-post-09,2026-05-08,17:49,post,9,LIST_POST,linkedin-output/2026-05-08/posts.md,Five questions that separate self-serve donor management platforms from ones that sound self-serve until you try to run them:,scheduled
2026-05-08-post-10,2026-05-08,19:13,post,10,PRODUCT_INSIGHT,linkedin-output/2026-05-08/posts.md,Data migration is cited as the top barrier to CRM adoption by 44% of nonprofits that have delayed a software switch — per the Idealware/NTEN State of Nonprofit Data report.,scheduled
2026-05-09-post-01,2026-05-09,05:13,post,1,STAT_BOMB,linkedin-output/2026-05-09/posts.md,A 30% excise tax applies to the shortfall when a private foundation misses its 5% minimum distribution — and a 100% corrective tax hits if the undistributed income is not distributed in the following year.,scheduled
2026-05-09-post-02,2026-05-09,06:37,post,2,MYTH_BUSTER,linkedin-output/2026-05-09/posts.md,Myth: Foundant GLM and GrantHub are the same product for different users.,scheduled
2026-05-09-post-03,2026-05-09,08:01,post,3,WORKFLOW_STEP,linkedin-output/2026-05-09/posts.md,A donor refund in January for a December gift does not just affect the payment processor. It affects the donor's prior-year charitable deduction.,scheduled
2026-05-09-post-04,2026-05-09,09:25,post,4,TERM_EXPLAINED,linkedin-output/2026-05-09/posts.md,"""Management decision"" has a specific legal meaning in federal grant compliance that differs from ordinary usage.",scheduled
2026-05-09-post-05,2026-05-09,10:49,post,5,TOOL_TEARDOWN,linkedin-output/2026-05-09/posts.md,"Little Green Light starts at $39/month for up to 2,500 records. For an all-volunteer organization tracking individual donations, it does what it says it does.",scheduled
2026-05-09-post-06,2026-05-09,12:13,post,6,VERTICAL_HOOK,linkedin-output/2026-05-09/posts.md,"A mid-sized veterans service organization may simultaneously manage VA SSVF grants, DOL Homeless Veterans Reintegration Program funding, and HUD-VASH service contracts — each with different compliance frameworks, performance metrics, and audit standards.",scheduled
2026-05-09-post-07,2026-05-09,13:37,post,7,FREE_RESOURCE,linkedin-output/2026-05-09/posts.md,"The five document categories auditors request most often from grant files, in order of frequency:",scheduled
2026-05-09-post-08,2026-05-09,15:01,post,8,COMPARISON_INSIGHT,linkedin-output/2026-05-09/posts.md,"Salesforce Nonprofit Cloud's 3-year total cost of ownership for a mid-sized nonprofit runs $75,000 to $275,000. Blackbaud Raiser's Edge NXT starts at $5,000 to $15,000 per year on multi-year contracts with opaque pricing and common annual increases.",scheduled
2026-05-09-article,2026-05-09,16:25,article,,ARTICLE,linkedin-output/2026-05-09/article.md,Restricted Fund Tracking: Where Nonprofits Lose Control and What to Do About It,pending
2026-05-09-post-09,2026-05-09,17:49,post,9,LIST_POST,linkedin-output/2026-05-09/posts.md,Five questions that separate a grant compliance system from a grant tracking tool:,scheduled
2026-05-09-post-10,2026-05-09,19:13,post,10,PRODUCT_INSIGHT,linkedin-output/2026-05-09/posts.md,"When an auditor samples ten grant expenditures, the question is always the same: who approved this allocation, when, and what did it look like before the change?",scheduled
2026-05-10-post-01,2026-05-10,05:13,post,1,STAT_BOMB,linkedin-output/2026-05-10/posts.md,$1.17 trillion in federal award spending from 2017–2021 was linked to audit findings that were both severe and persistent — roughly 17% of all federal award spending during that period.,scheduled
2026-05-10-post-02,2026-05-10,06:37,post,2,MYTH_BUSTER,linkedin-output/2026-05-10/posts.md,"Myth: ""Our CRM handles grants, so we're covered.""",scheduled
2026-05-10-post-03,2026-05-10,08:01,post,3,WORKFLOW_STEP,linkedin-output/2026-05-10/posts.md,"Under 2 CFR 200.430, employees on multiple federal awards cannot use semi-annual time certification — but most organizations apply it to them anyway.",scheduled
2026-05-10-post-04,2026-05-10,09:25,post,4,TERM_EXPLAINED,linkedin-output/2026-05-10/posts.md,Form 990 is a public document. That sentence changes how you should think about filing it.,scheduled
2026-05-10-post-05,2026-05-10,10:49,post,5,TOOL_TEARDOWN,linkedin-output/2026-05-10/posts.md,HubSpot's free CRM is a functional contact management tool. It is not a grant compliance system — and the distinction matters the moment your organization receives a restricted grant.,scheduled
2026-05-10-post-06,2026-05-10,12:13,post,6,VERTICAL_HOOK,linkedin-output/2026-05-10/posts.md,"A youth program managing 21st Century Community Learning Centers funds, an AmeriCorps grant, and two foundation grants is operating four separate compliance frameworks simultaneously.",scheduled
2026-05-10-post-07,2026-05-10,13:37,post,7,FREE_RESOURCE,linkedin-output/2026-05-10/posts.md,A grant reporting deadline tracked only by due date is a deadline that will eventually be missed.,scheduled
2026-05-10-post-08,2026-05-10,15:01,post,8,COMPARISON_INSIGHT,linkedin-output/2026-05-10/posts.md,"AmpliFund's typical annual cost is $15,000–$60,000 based on public procurement records. GrantPipe is $329–$1,079 per month flat SaaS. These are not competing price points — they signal different target customers.",scheduled
