date,slot,type,post_text,hashtags,source_file,has_cta
2026-04-28,1,STAT_BOMB,"New York's CHAR500 audit threshold sits at $1 million in gross revenue plus support — exactly the same dollar figure as the federal single audit threshold, but governed by NY Executive Law 172-b, not 2 CFR 200.501. ↵  ↵ Same number, different authority. A New York charity that crosses $1M in total revenue and also expends $1M in federal awards in the same year owes both the state-required independent audit under Article 7-A and a single audit under the OMB 2 CFR Part 200 October 2024 revision. Coordinated through one CPA engagement, but two distinct compliance obligations with separate reporting paths. ↵  ↵ Below $1M but above $250K of gross revenue plus support, New York requires a CPA review — not the full audit. Below $250K, neither. ↵  ↵ The CHAR500 itself is due May 15 for calendar-year filers, four months and fifteen days after fiscal year end. Filing fees range from $25 to $750 depending on Article 7-A and EPTL registration. Most rejection notices come from missing the Form 990 attachment, missing the second officer signature, or miscalculating the fee tier. ↵  ↵ GrantPipe tracks CHAR500 deadlines next to federal SF-425 cadence and the audit engagement so the May 15 due date does not collide with single audit fieldwork unsupervised. ↵  ↵  ↵ ---",#char500 #nonprofitcompliance #stateregistration #singleaudit,appssitesrccontentguidesew-york-char500-filing-guide.md,yes
2026-04-28,2,MYTH_BUSTER,"Myth: a subrecipient with no single audit history is a low-risk subrecipient. ↵  ↵ Reality: 2 CFR 200.332(b) requires the pass-through entity to evaluate risk before issuing the sub-award, and ""no audit history"" is not the same as ""clean audit history."" Many smaller subrecipients have never crossed the $1,000,000 single audit threshold in any prior year. The audit silence is informational absence, not risk evidence. ↵  ↵ When a subrecipient lacks audit history, the regulation still requires a documented assessment. The weight shifts to the pre-award questionnaire, financial statement review if available, organizational references, and adequacy of financial management systems. A composite risk score under 1.5 across the six factors in 200.332(b) suggests low risk; between 1.5 and 2.5 suggests medium; above 2.5 suggests high. ↵  ↵ The most common audit finding on subrecipient monitoring is not that the monitoring was inadequate. It is that the pre-award risk assessment was never done. Auditors look for the document specifically because the regulation requires it before the sub-award is issued — and its absence is an automatic finding that cannot be cured after the fact. ↵  ↵ Document the rationale, score each factor, and file the assessment alongside the sub-award agreement. The matrix is the answer when the auditor asks how the risk rating was reached. ↵  ↵  ↵ ---",#subrecipientmonitoring #2cfr200 #grantcompliance #passthroughentity,appssitesrccontentguideshow-to-conduct-a-subrecipient-risk-assessment.md,no
2026-04-28,3,WORKFLOW_STEP,"Step 2 of a nonprofit pledge write-off: determine the treatment under FASB ASC 958-605 before you book the entry. ↵  ↵ The instinct from for-profit accounting is to debit bad debt expense and credit the receivable. Under ASC 958, that is wrong. The write-off of an unconditional pledge receivable reduces the allowance for uncollectible pledges and the pledge receivable — provided the allowance was appropriately estimated when the pledge was originally recorded. It is contra-revenue mechanics, not an operating expense. ↵  ↵ If the original allowance was set to zero, the write-off has nowhere to go but contribution revenue. Organizations that use a blanket zero-allowance policy create exactly that scenario: every write-off becomes a reduction to current-year contribution revenue on the Statement of Activities. ↵  ↵ Step 3 is approval. Typical thresholds under ASC 958-605 documentation discipline: under $1,000 approved by the finance director, $1,000 to $10,000 by the executive director, over $10,000 by the board. Whatever your policy specifies, the written approval must precede the journal entry. ↵  ↵ Multi-year pledges add one more wrinkle. Per ASC 958-605-30-6, multi-year pledges carry a present-value discount that unwinds annually. When the pledge is written off, the unamortized discount on the unpaid portion must be eliminated proportionally. Leaving it in place overstates the discount contra-asset. ↵  ↵  ↵ ---",#nonprofitaccounting #fasb #pledges #asc958,appssitesrccontentworkflowspledge-write-off.md,no
2026-04-28,4,TERM_EXPLAINED,"A grant expenditure report is not a budget-versus-actual report. ↵  ↵ The two documents look similar on paper. Both compare what was spent against the approved budget by category. The difference sits in the legal weight. A budget-versus-actual is an internal management tool. A grant expenditure report is a funder-facing certification — signed, submitted, and binding. Signing it carries compliance responsibility for the truth of the numbers. ↵  ↵ For federal awards, the standard expenditure report is the SF-425 Federal Financial Report. Under 2 CFR 200.328, financial reports are due no less than annually and within 90 days of the end of the award period. The SF-425 captures cumulative obligations, period-specific expenditures, federal cash on hand, program income, and indirect cost rate. ↵  ↵ The reconciliation rule is non-negotiable. Every dollar shown on the SF-425 must trace to the grantee's general ledger by grant fund code for the corresponding period. A discrepancy between the submitted report and the accounting records is an audit finding. Single audits routinely flag this. The funder may refuse to reimburse the questioned costs and require corrective action. ↵  ↵ Practical discipline: pull the GL by grant fund code, reconcile to the planned SF-425 numbers, resolve any variance, then submit. Never the other order. ↵  ↵  ↵ ---",#sf425 #grantreporting #federalgrants #grantcompliance,appssitesrccontentglossaryexpenditure-report.md,no
2026-04-28,5,TOOL_TEARDOWN,"WizeHive Zengine annual contracts run roughly $15,000 to $40,000, with implementations commonly stretching past 90 days. ↵  ↵ Pricing is not published. G2 reviewer estimates and Capterra ""Contact Vendor"" listings are the public anchors. The product is positioned as a low-code grants platform — every customer configures forms, workflows, and reports themselves or pays WizeHive's services team to do it. Grantmakers running custom application processes, multi-stage review panels, and corporate foundation workflows get genuine value from that flexibility. ↵  ↵ The fit problem starts when grant-receiving nonprofits evaluate it on a peer recommendation. Zengine has no donor CRM. Individual gifts, recurring donations, and donor retention live in a separate subscription. The product's language and sales motion are built around the entity cutting checks, not receiving them. For a $500K to $10M nonprofit managing two or three federal grants and a foundation portfolio, the configuration burden is the real cost — not the license fee. ↵  ↵ The honest evaluation question: does your workflow genuinely require custom application forms and review panels, or are you a grant recipient looking for compliance and reporting? If it is the second one, a packaged product ships in days, not 90. ↵  ↵ GAO-16-573 reports that federal grantees spend a median of 40% of administrative time on compliance documentation. The platform that helps cuts that median, not the platform that takes a quarter to configure. ↵  ↵  ↵ ---",#grantmanagementsoftware #wizehive #nonprofittech #grantsoftware,appssitesrccontentalternativeswizehive-alternative.md,no
2026-04-28,6,VERTICAL_HOOK,"The NEA awarded $174.5 million to arts organizations across all 50 states in FY2023, and most of those grants required 1:1 matching documented contemporaneously. ↵  ↵ That last word — contemporaneously — is where museums get burned. NEA project grants typically require the organization to document non-federal contributions equal to the federal award. Match can come from earned revenue, foundation grants, non-federal government awards, and in-kind contributions. What it cannot do is appear retroactively. An organization that assembles match documentation after the award period ends does not have match documentation; it has a reconstruction project that auditors recognize on sight. ↵  ↵ Museums managing NEA, NEH, and IMLS awards simultaneously face three overlapping compliance frameworks under 2 CFR 200, plus state arts council pass-throughs, plus private foundation grants from places like Mellon and Getty. Each one with its own reporting format. NEA reports through REACH. NEH preservation grants restrict funds narrowly to the approved conservation activity — prior approval required before any reallocation. IMLS Museums for America awards layer program-specific deliverables on top of standard 200 financial requirements. ↵  ↵ Multi-year exhibition grants compound the problem. Spending in Year 2 on activities budgeted for Year 1 may require prior approval and documented reallocation. Cumulative tracking is not a reporting convenience — it is the compliance mechanism. ↵  ↵  ↵ ---",#museums #neagrants #nehgrants #culturalinstitutions,appssitesrccontentertical-pagesmuseums-and-cultural-institutions.md,no
2026-04-28,7,FREE_RESOURCE,"Donor CRM and grant accounting records describe the same funders from two different operational angles, and that is exactly why they drift apart. ↵  ↵ Development enters a gift when the award letter arrives. Finance posts the receipt when cash clears. Two workflows, two timestamps, two restriction classifications, two amounts (pledged versus net of fees). Without an annual reconciliation, the gap compounds until no one can reliably answer ""how much restricted funding did we receive from Funder X this year."" ↵  ↵ Four discrepancy types account for almost all the variance. Type 1: CRM-only — gift entered but never posted in accounting. Type 2: accounting-only — government grant that bypassed development entirely. Type 3: amount mismatch — full pledged amount in CRM, first installment in accounting. Type 4: classification mismatch — development called it unrestricted general support; finance read the grant agreement and coded it restricted. ↵  ↵ The tie-breaker is always the source document. Grant agreement section reference, award letter, signed pledge card. Not staff recollection. Run the full reconciliation annually before audit fieldwork. Spot-check monthly for funders representing more than 10% of restricted revenue. ↵  ↵ Free download — the Donor-to-Grant Reconciliation Template walks through the matching table, discrepancy classification, resolution documentation, and reconciliation summary: grantpipe.com/lead-magnets/donor-to-grant-reconciliation-template ↵  ↵  ↵ ---",#donorcrm #grantaccounting #reconciliation #nonprofitfinance,appssitesrccontentlead-magnetsdonor-to-grant-reconciliation-template.md,no
2026-04-28,8,COMPARISON_INSIGHT,"DonorPerfect publishes a 93% retention rate and a 13-year average customer tenure. Those numbers are real. They reflect a mature donor CRM that teams build operations around and stay on. ↵  ↵ The honest comparison with GrantPipe is not ""which one is better"" — it is which question the Executive Director most often needs answered. If the question is ""who gave, when, how much, what campaign did they respond to,"" DonorPerfect's reporting is fast and the workflow is well-designed for fundraising. If the question is ""what is the current balance of the State Housing Grant fund,"" DonorPerfect holds a fund designation label but not a fund balance. Someone in finance calculates the answer from a separate source. That calculation may or may not be current. ↵  ↵ The Nonprofit Finance Fund 2025 survey found 36% of nonprofits ended FY2024 with an operating deficit, and organizations managing restricted grants without integrated compliance tracking spent an average of 11 additional hours per month assembling manual reports. Eleven hours a month is more than a full work week per quarter spent on data assembly that should be a system output. ↵  ↵ The decision framework is simpler than feature comparisons. Draw a circle around what the ED needs every week. If the circle contains restricted fund balances and grant compliance status, the unified system removes the coordination cost. If it does not, DonorPerfect covers it. ↵  ↵  ↵ ---",#donorperfect #nonprofitcrm #restrictedfunds #executivedirector,appssitesrccontentcomparisonsgrantpipe-vs-donorperfect-executive-directors.md,no
2026-04-28,9,QUESTION_POST,"Board treasurers carry personal fiduciary exposure for an organization they see for two hours a month. ↵  ↵ The BoardSource Leading with Intent 2021 survey found 75% of board members rate their own financial literacy as basic or below. That is not a character flaw — it is structural. Volunteer boards are composed for governance breadth, not accounting depth. The treasurer is liable for restricted fund misuse they ""knew or should have known"" about, while reviewing a Statement of Activities that reports net assets with donor restrictions as a single aggregate line. ↵  ↵ FASB ASC 958 does not require grant-level detail on the face of the statements. A nonprofit managing 10 restricted grants can satisfy the standard with one number. The treasurer either trusts that number or asks for a supporting schedule, which usually arrives Friday evening before a Tuesday meeting via spreadsheet. ↵  ↵ GAO-24-106173 reported that 17% of federal award spending from 2017 to 2021 was linked to severe and persistent single audit findings. Median audit costs for $1M to $10M budgets run $10,000 to $45,000, with single audits adding $5,000 to $20,000 on top. ↵  ↵ Question for board treasurers and finance committee chairs: what is the verification step you wish you had between Friday's packet and Tuesday's vote — and how often does that gap actually get closed before you sign Form 990? ↵  ↵  ↵ ---",#boardgovernance #fiduciaryduty #nonprofitfinance #boardtreasurer,appssitesrccontentpersonasoard-treasurers.md,no
2026-04-28,10,PRODUCT_INSIGHT,"The split between pre-award tools and post-award tools is the single biggest reason grant data goes stale. ↵  ↵ Most nonprofits run an Instrumentl or GrantHub subscription for the pipeline, then re-key the awarded grant into a spreadsheet or QuickBooks class for compliance tracking. The same grant gets modeled twice, in two systems, with two custodians, and two slightly different sets of facts. By month six of the award, the pipeline tool says ""awarded"" with a stale amount, the accounting system shows posted expenses, and no one is sure which restriction language is the latest. ↵  ↵ The architectural fix is to make the opportunity and the grant the same record at different lifecycle stages. Pre-award fields stay editable through prospect, LOI, and applied. On award, post-award fields open up — reporting schedule, fund restrictions, allocation rules — and the pre-award history becomes read-only. No re-keying because there is no handoff. ↵  ↵ Default stage probabilities anchor the forecast: prospect 10%, LOI 30%, applied 50%, awarded 100%, declined 0%. Override per opportunity when funder history justifies it. AFP's Fundraising Effectiveness Project shows cold application win rates in the 10-20% range, which is what the prospect default reflects. ↵  ↵ GrantPipe runs the pipeline, the awarded grant, and the restricted fund as one connected record so the forecast a board sees is the same forecast the development director and the finance lead are running on. ↵  ↵  ↵ ---",#grantmanagement #nonprofitcrm #grantpipeline #restrictedfunds,appssitesrccontenteaturesgrant-pipeline-management.md,yes
2026-04-29,1,STAT_BOMB,"Audit fees for organizations stuck at the 40 percent major-program coverage threshold typically run $8,000 to $20,000 higher per cycle than for comparable low-risk auditees. ↵  ↵ The five low-risk criteria under 2 CFR 200.520 are mostly inside management's control: a clean Single Audit two years running, no material weaknesses in internal controls over major programs, no GAGAS qualified opinion, no fraud findings affecting major programs, and timely Federal Audit Clearinghouse submission. ↵  ↵ The catch is that you cannot reverse-engineer eligibility at audit time. The two prior fiscal years either qualify or they do not. ↵  ↵ The shops that consistently keep low-risk status track the criteria themselves quarter by quarter, the same way they track cash. The shops that lose it find out from the auditor in March. ↵  ↵ Per the AICPA Government Audit Quality Center benchmarking work, the additional testing required for non-low-risk auditees is the single largest avoidable line item in most Single Audit engagements. ↵  ↵ GrantPipe surfaces low-risk status indicators alongside grant compliance so the criteria do not get rediscovered at fieldwork.",#singleaudit #grantcompliance #nonprofitfinance #lowriskauditee,apps\site\src\content\guides\low-risk-auditee-criteria.md,yes
2026-04-29,2,MYTH_BUSTER,"Myth: interest earned on a federal advance drawdown counts as program income. ↵  ↵ Reality: it does not. Program income is governed by 2 CFR 200.307 and means revenue earned by the recipient that is directly generated by activities supported by the federal award. Interest on cash advances is a separate animal handled under 2 CFR 200.305(b)(9), which requires recipients to remit interest above $500 per year to the HHS Program Support Center. ↵  ↵ The two get conflated because both involve money sitting in the recipient's bank account that was not in the original budget. They are not the same thing and they get reported on different schedules. ↵  ↵ The other place this matters: the additive-versus-deductive treatment election under 2 CFR 200.307. Once made at award time, that election is binding for the life of the award. Most program officers never ask about it until the auditor does, and by then changing it requires retroactive correction. ↵  ↵ If your sub-award says nothing about program income treatment, that is itself a finding waiting to happen.",#programincome #grantcompliance #2cfr200 #federalgrants,apps\site\src\content\workflows\program-income-reporting.md,no
2026-04-29,3,WORKFLOW_STEP,"Steps 5 and 6 of the in-kind contribution valuation workflow are where most organizations create their next audit finding. ↵  ↵ Step 5 is the journal entry. Under ASU 2020-07, debit the asset account (food inventory, supplies, property) or the relevant expense account if the goods are consumed in program delivery, and credit contribution revenue with or without donor restrictions depending on intent. Do not net in-kind gifts against expenses. Netting is the most common error and it understates both revenue and program expense on the 990. ↵  ↵ Step 6 is the donor acknowledgment letter. IRS rules require written acknowledgment for any contribution of $250 or more. For in-kind gifts, the letter describes the goods or services in enough detail to support the donor's deduction but does not state a value — that is the donor's responsibility to substantiate. ↵  ↵ The standard took effect for fiscal years beginning after June 15, 2021. Most organizations updated their journal entries and forgot to update their footnote disclosures. Audit firms catch this in year three.",#nonprofitaccounting #inkindcontributions #asu202007 #fasb,apps\site\src\content\workflows\in-kind-contribution-valuation.md,no
2026-04-29,4,TERM_EXPLAINED,"Pass-through entity, defined at 2 CFR 200.1: a non-federal entity that receives a federal award and provides a sub-award to a subrecipient that carries out part of the federal program. ↵  ↵ Pass-through status is functional, not optional. The moment a recipient issues a sub-award, it becomes a pass-through entity for that portion of the award and inherits the responsibilities under 2 CFR 200.332. ↵  ↵ Two examples that show how broad the definition is. A state department of health receives a $5M HHS grant and sub-awards $3M to 12 county health agencies — the state is the pass-through. A nonprofit receives a $1.2M DOL workforce grant and sub-awards $400,000 to a training partner for one program track — the nonprofit is a pass-through for that $400,000. ↵  ↵ The 2 CFR 200.332 obligations include classifying every downstream relationship as subrecipient or contractor, performing risk assessments before issuing sub-awards, and monitoring throughout the period of performance. Pass-through amounts also flow onto the SEFA filed with the Federal Audit Clearinghouse. ↵  ↵ If your organization writes checks to a partner under a federal grant, you are probably a pass-through entity. The right time to find out is before the agreement is signed.",#passthroughentity #2cfr200332 #subrecipientmonitoring #grantcompliance,apps\site\src\content\glossary\pass-through-entity.md,no
2026-04-29,5,TOOL_TEARDOWN,"Neon One is not a single product. It is a portfolio assembled through acquisition: Neon CRM at the center, Arts People for arts organizations, Rallybound for peer-to-peer, and a few others stacked around them. ↵  ↵ The pitch is vendor consolidation. The reality for buyers is uneven module quality and a UX that varies depending on which acquired team built the surface you are looking at. Cross-module reporting is the place this shows up first — pulling a clean view across donor activity, event registrations, and grant tracking usually requires either a custom report build or an export-to-Excel step. ↵  ↵ For organizations that mostly need donor management, Neon CRM on its own is a reasonable choice. For organizations that need donor CRM plus active grant management in one system, the bundle approach asks the buyer to integrate modules that were not designed together. ↵  ↵ The tradeoff to know going in: you trade a single login for a sprawl that grows as Neon One acquires more products. Mid-sized nonprofits that already feel stretched thin tend to feel that sprawl most.",#nonprofittech #donorcrm #neonone #grantmanagement,apps\site\src\content\alternatives\neon-one-alternative.md,no
2026-04-29,6,VERTICAL_HOOK,"Church donor management runs on a weekly cadence — tithes, offerings, designated gifts — not the quarterly cycle most nonprofit CRMs assume. ↵  ↵ A typical secular nonprofit drops appeal letters in Q4, runs an end-of-year campaign, and cultivates major donors across a 12-month plan. A church processes giving every Sunday and every online gift in between, with designated funds for building campaigns, missions, benevolence, and youth programs running in parallel year-round. ↵  ↵ When the same church also receives grants for secular programs — early childhood, food pantry, after-school — the data model gets more complicated. Restricted grant funds cannot be commingled with the General Fund or the Building Fund in the books, even if one bank account holds all of it. ↵  ↵ Most church-specific tools handle the giving side well and ignore grants entirely. Most nonprofit CRMs handle grants and treat weekly tithing as an afterthought. The shops that get this right pick a system that separates donor giving records from restricted grant funds at the data layer, then maps both up to the appropriate fund balance under FASB ASC 958. ↵  ↵ If your accounting system and your donor system disagree about which fund a check belongs to, you have a reconciliation problem waiting to happen.",#churchaccounting #fundaccounting #restrictedfunds #nonprofitfinance,apps\site\src\content\vertical-pages\church-donor-software.md,no
2026-04-29,7,FREE_RESOURCE,"A sub-award that is missing a required provision is a compliance finding even when the program runs perfectly. ↵  ↵ 2 CFR 200.332(a) lists the data elements that every sub-award document must contain before execution: federal award identification number, federal award date, sub-award amount, federal award project description, name of the federal awarding agency, CFDA/Assistance Listing number and title, indirect cost rate, and a statement of applicable requirements. Missing any one of them is a citable finding regardless of how well the subrecipient performs. ↵  ↵ The most common gap on the audited list is the indirect cost rate — pass-through entities often leave it blank or use language that does not reference the negotiated rate or the de minimis 15 percent rate at 2 CFR 200.414(f). ↵  ↵ The Subrecipient Agreement Checklist walks through every required provision under 2 CFR 200.332(a), the additional provisions that reduce monitoring risk, and program-specific additions that some federal programs require on top of the baseline. Use it before the agreement is signed, not after. ↵  ↵ Free download in the resources section of the GrantPipe site.",#subrecipientmonitoring #2cfr200332 #grantcompliance #federalgrants,apps\site\src\content\lead-magnets\subrecipient-agreement-checklist.md,no
2026-04-29,8,COMPARISON_INSIGHT,"Little Green Light at $45 to $200 per month versus GrantPipe at $329 to $1,079. The right answer depends on one variable: do you actively manage federal or foundation grants, or just donors. ↵  ↵ Little Green Light is a strong tool for organizations under $500K in budget that are donor-funded and need clean gift entry, acknowledgments, and basic reporting. Any staff member can learn it without training. The ceiling shows up around $500K to $1M in budget when reporting needs go beyond what an Excel export can handle and when grant management enters the picture. ↵  ↵ GrantPipe assumes grants from day one. Restricted-fund tracking, deadline calendars, budget-versus-actual against grant budgets, and donor CRM all in one system, priced flat per organization rather than per contact. The tradeoff is more surface area than a $250K all-donor nonprofit needs. ↵  ↵ The wrong reason to pick either tool is current pricing. Replatforming in 18 months costs more than the price difference in any direction. ↵  ↵ If your organization is past $500K in budget and your grant load is growing, the cheap tool stops being cheap when you outgrow it.",#nonprofitcrm #donormanagement #grantmanagement #saas,apps\site\src\content\comparisons\grantpipe-vs-little-green-light.md,no
