post_id,scheduled_at_et,scheduled_at_utc,timezone,platform,account,type,integration_id,settings_json,pillar,hook_code,length_code,cta_type,cta_url,claim_sources,export_pattern,humanizer_status,review_status,source_file,post_body
2026-06-01_14-30_mon-11,2026-06-01 14:30,2026-06-01T18:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P7,L,m,lead_magnet,https://grantpipe.com/free/donor-to-grant-reconciliation-template,lead magnet: donor-to-grant-reconciliation-template,lead-magnet teaser,passed,passed,content/social/linkedin/2026-W23/2026-06-01_14-30_mon-11.txt,"The donor record and the grant record should reconcile before year-end.

We made a Donor-to-Grant Reconciliation Template for the messy middle:

- CRM-only records
- grants-only records
- amount differences
- restriction coding differences
- resolution notes tied to source documents

Free download, no email required: grantpipe.com/free/donor-to-grant-reconciliation-template."
2026-06-01_15-30_mon-12,2026-06-01 15:30,2026-06-01T19:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P4,D,m,none,,SEFA preparation checklist; SAM.gov Assistance Listings,source-heavy federal,passed,passed,content/social/linkedin/2026-W23/2026-06-01_15-30_mon-12.txt,"UEI belongs in more places than SAM.gov.

For federal and pass-through awards, keep the UEI, Assistance Listing Number, pass-through entity, award number, and period of performance on the grant record.

That data later feeds SEFA prep, subrecipient files, reporting portals, and audit requests.

The time to collect it is award setup, not the week the auditor asks."
2026-06-01_16-30_mon-13,2026-06-01 16:30,2026-06-01T20:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P6,F,m,none,,product-marketing context,build-in-public data shape,passed,passed,content/social/linkedin/2026-W23/2026-06-01_16-30_mon-13.txt,"We model grants and funds as separate records in GrantPipe.

That sounds small until you map real nonprofit accounting.

One grant can fund several restricted funds.

One restricted fund can support work under several awards.

Development thinks in funders and awards. Finance thinks in fund balances, releases, and expense coding.

The product has to respect both, or the reconciliation work comes back in spreadsheets."
2026-06-01_18-30_mon-14,2026-06-01 18:30,2026-06-01T22:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P3,N,m,none,,product-marketing context; donor-to-grant reconciliation template,three places grant can live,passed,passed,content/social/linkedin/2026-W23/2026-06-01_18-30_mon-14.txt,"A grant can live in four places at once.

In the CRM, it is a relationship.

In the grant tracker, it is a deadline set.

In the accounting system, it is revenue, restriction, and expense coding.

In the shared drive, it is evidence.

If those places disagree, the board packet becomes a negotiation.

The goal is boring: one record that lets each team see its own view without inventing a new truth."
2026-06-01_20-30_mon-15,2026-06-01 20:30,2026-06-02T00:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P1,Q,s,none,,federal grant draw tracking workflow; 2 CFR 200.305,SF-425 cash drawn vs GL quick check,passed,passed,content/social/linkedin/2026-W23/2026-06-01_20-30_mon-15.txt,"Quick check for federal cash draws:

Cumulative draws should reconcile to cumulative grant expenditures and any allowed advance cash.

If draws exceed expenses, you may be holding federal cash too long.

If expenses exceed draws, you have a reimbursement timing issue.

Both belong in the monthly close, not in the audit scramble."
2026-06-02_06-45_tue-01,2026-06-02 06:45,2026-06-02T10:45:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P2,Q,s,none,,FASB ASC 958 guide; accounting for restricted funds guide,restricted fund definition,passed,passed,content/social/linkedin/2026-W23/2026-06-02_06-45_tue-01.txt,"Restricted fund question for Tuesday morning:

Is that balance restricted by the donor, designated by the board, or just labeled that way in a spreadsheet?

Those are not the same thing under FASB ASC 958.

The label matters because the board can reverse its own designation. It cannot rewrite a donor restriction."
2026-06-02_07-30_tue-02,2026-06-02 07:30,2026-06-02T11:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P5,Q,s,none,,june strategy; writer brief,board packet numbers,passed,passed,content/social/linkedin/2026-W23/2026-06-02_07-30_tue-02.txt,"Board packet numbers should survive five questions:

What changed this month?

Which funds are restricted?

Which reports are late or close?

Which grant balances need Finance review?

Which number should not be repeated externally yet?

A board packet is not better because it is longer. It is better when the caveats are visible before the meeting starts."
2026-06-02_08-15_tue-03,2026-06-02 08:15,2026-06-02T12:15:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P1,C,s,none,,grant documentation checklist,audit binder checklist,passed,passed,content/social/linkedin/2026-W23/2026-06-02_08-15_tue-03.txt,"Audit documentation gets weaker when it is stored by personality.

""Ask Maria.""

""Check John's folder.""

""Finance has the final one.""

Those are not records. They are dependencies.

For grant files, store the award, amendment, report, source document, approval, and reconciliation where the next person can find them without knowing office folklore."
2026-06-02_09-00_tue-04,2026-06-02 09:00,2026-06-02T13:00:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P3,C,m,none,,donor-to-grant reconciliation template,donor CRM to GL reconciliation,passed,passed,content/social/linkedin/2026-W23/2026-06-02_09-00_tue-04.txt,"The CRM amount and the accounting amount can both be right.

The CRM may show the full award.

Accounting may show the first cash installment.

The grant record may show the approved budget.

The board packet may need the remaining spend-down.

Reconciliation is not about forcing one number into every field.

It is about naming what each number means."
2026-06-02_09-45_tue-05,2026-06-02 09:45,2026-06-02T13:45:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P2,D,l,none,,accounting for restricted funds guide; FASB ASU 2018-08,restricted fund release schedules,passed,passed,content/social/linkedin/2026-W23/2026-06-02_09-45_tue-05.txt,"A restricted fund release schedule should answer one question cleanly:

What restriction has actually been satisfied?

For a purpose-restricted grant, the release is tied to qualifying expenses. The program did the work, the cost was allowable, and the documentation supports it.

For a time-restricted gift, the release is tied to the date or period the donor specified.

For a conditional contribution under FASB ASU 2018-08, revenue recognition may wait until the barrier is substantially met.

The release schedule should not be a monthly guess.

It should tie each release to:

- source restriction
- expense or time trigger
- amount released
- journal entry
- reviewer
- source document

That lets Finance explain why restricted net assets changed without rebuilding the story from grant folders, donor notes, and old emails."
2026-06-02_10-30_tue-06,2026-06-02 10:30,2026-06-02T14:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P4,L,m,none,,SEFA preparation checklist; 2 CFR 200.510(b),source-heavy federal,passed,passed,content/social/linkedin/2026-W23/2026-06-02_10-30_tue-06.txt,"SEFA prep starts with identifiers, not totals.

For each federal award, capture:

- federal agency
- pass-through entity, if any
- Assistance Listing Number
- program name
- cluster, if applicable
- expenditures
- amount passed to subrecipients

2 CFR 200.510(b) tells you what belongs on the schedule.

The cleaner the identifiers are at award setup, the less archaeology happens during single audit prep."
2026-06-02_11-15_tue-07,2026-06-02 11:15,2026-06-02T15:15:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P1,D,m,none,,2 CFR 200.306; uniform guidance guide,matching funds under 2 CFR 200.306,passed,passed,content/social/linkedin/2026-W23/2026-06-02_11-15_tue-07.txt,"Matching funds under 2 CFR 200.306 need the same discipline as direct grant costs.

They must be verifiable, not counted as match for another federal award, necessary and reasonable for the work, and allowed under the award terms.

The risky version is ""we have in-kind support somewhere.""

The better version is a match log with source, date, valuation method, restriction, and reviewer."
2026-06-02_12-00_tue-08,2026-06-02 12:00,2026-06-02T16:00:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P5,Q,s,none,,writer brief; donor stewardship plan lead magnet,ICP work life,passed,passed,content/social/linkedin/2026-W23/2026-06-02_12-00_tue-08.txt,"Development calendar check:

Do your stewardship touches line up with grant reporting dates?

A funder update written two weeks after a clean program report is easier than a relationship note written from memory six months later.

The calendar should hold both kinds of commitments:

- external reporting due dates
- relationship follow-ups that keep the funder informed before renewal season"
2026-06-02_12-45_tue-09,2026-06-02 12:45,2026-06-02T16:45:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P4,Q,m,none,,uniform guidance guide; federal grant reporting requirements,source-heavy federal,passed,passed,content/social/linkedin/2026-W23/2026-06-02_12-45_tue-09.txt,"Indirect cost decisions belong in the grant setup file.

Does the award allow indirect costs?

Are you using a NICRA?

Are you eligible for the de minimis rate?

What base are you applying it to?

If that answer is buried in one Finance note, the SF-425 and SEFA can drift later.

Write the basis once, then use it every time the grant is reported."
2026-06-02_13-30_tue-10,2026-06-02 13:30,2026-06-02T17:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P7,L,m,lead_magnet,https://grantpipe.com/free/restricted-funds-release-calculator,lead magnet: restricted-funds-release-calculator,lead-magnet teaser,passed,passed,content/social/linkedin/2026-W23/2026-06-02_13-30_tue-10.txt,"Restricted fund releases are easy to misstate when the support lives in three places.

We made a Restricted Funds Release Calculator for the review step:

- starting restricted balance
- qualifying expenses
- time or purpose restriction
- release amount
- remaining balance
- journal entry support

Free download, no email required: grantpipe.com/free/restricted-funds-release-calculator."
2026-06-02_14-30_tue-11,2026-06-02 14:30,2026-06-02T18:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P3,C,s,none,,product-marketing context; donor-to-grant reconciliation template,board packet mismatch,passed,passed,content/social/linkedin/2026-W23/2026-06-02_14-30_tue-11.txt,"A board packet mismatch can start small.

Development reports the award amount.

Finance reports cash received.

Programs report expenses incurred.

The Executive Director asks what is still available.

Those are four related numbers, not one number.

The packet gets clearer when each number has a label and a date."
2026-06-02_15-30_tue-12,2026-06-02 15:30,2026-06-02T19:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P7,L,m,lead_magnet,https://grantpipe.com/free/auditor-evidence-checklist,lead magnet: auditor-evidence-checklist; grant documentation checklist,lead-magnet teaser,passed,passed,content/social/linkedin/2026-W23/2026-06-02_15-30_tue-12.txt,"Auditor requests are less stressful when the evidence list already exists.

The Auditor Evidence Checklist covers records reviewers may ask for:

- award documents
- amendments
- ledger detail
- invoices and receipts
- payroll support
- time and effort
- procurement files
- submitted reports

Free download, no email required: grantpipe.com/free/auditor-evidence-checklist."
2026-06-02_16-30_tue-13,2026-06-02 16:30,2026-06-02T20:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P6,F,m,pricing,https://grantpipe.com/pricing,docs/social/linkedin/WRITER-BRIEF.md pricing source,build-in-public pricing,passed,passed,content/social/linkedin/2026-W23/2026-06-02_16-30_tue-13.txt,"We publish GrantPipe pricing because nonprofit software should not require a sales call just to learn the budget range.

With the limited offer, the first-year yearly plan prices are $54/mo Starter, $90/mo Growth, and $180/mo Audit-Ready.

Unlimited users. No setup fee. Month-to-month available. One-month free trial with no credit card.

Limited offer: 80% off your first year on subscriptions. First 300 customers.

Public pricing at grantpipe.com/pricing."
2026-06-02_18-30_tue-14,2026-06-02 18:30,2026-06-02T22:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P5,Q,s,none,,grant documentation checklist; june strategy,audit week ritual,passed,passed,content/social/linkedin/2026-W23/2026-06-02_18-30_tue-14.txt,"Audit week ritual that helps before audit week:

Once a month, ask someone outside the grant to pull one file from start to finish.

Can they find the award?

Can they trace one expense?

Can they find the report that used that expense?

Can they see who approved the change?

If the answer depends on memory, the record is not ready yet."
2026-06-02_20-30_tue-15,2026-06-02 20:30,2026-06-03T00:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P1,Q,s,none,,uniform guidance guide; 2 CFR 200 procurement standards,quick check,passed,passed,content/social/linkedin/2026-W23/2026-06-02_20-30_tue-15.txt,"Quick procurement check:

For federally funded purchases, can you show the purchase method, quotes or bids when required, vendor choice, conflict review, contract, invoice, and payment?

2 CFR 200 procurement rules care about the decision trail.

A good price with no file still creates audit friction."
2026-06-03_06-45_wed-01,2026-06-03 06:45,2026-06-03T10:45:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P4,Q,s,none,,SF-425 reporting checklist; federal reporting guide,SF-425 cash drawn vs GL quick check,passed,passed,content/social/linkedin/2026-W23/2026-06-03_06-45_wed-01.txt,"SF-425 quick check:

Do not fill the federal expenditure field from this quarter's activity alone.

The SF-425 is cumulative, so a period-only number can make a clean grant look off by an entire reporting period.

Before submission, reconcile the report to the grant ledger and draw history."
2026-06-03_07-30_wed-02,2026-06-03 07:30,2026-06-03T11:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P5,Q,s,none,,june strategy; writer brief,board prep question,passed,passed,content/social/linkedin/2026-W23/2026-06-03_07-30_wed-02.txt,"Finance Director morning question:

Which number in the board packet would take the longest to defend?

Start there.

Not because it is wrong.

Because the number that needs the longest explanation should have the clearest source note before anyone asks."
2026-06-03_08-15_wed-03,2026-06-03 08:15,2026-06-03T12:15:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P7,D,m,lead_magnet,https://grantpipe.com/free/sf-425-reporting-checklist,lead magnet: sf-425-reporting-checklist,lead-magnet teaser,passed,passed,content/social/linkedin/2026-W23/2026-06-03_08-15_wed-03.txt,"The SF-425 is easier when you gather the inputs before opening the portal.

Our SF-425 Reporting Checklist walks through the form fields, including award identifiers, cumulative expenditures, unliquidated obligations, match, program income, and pre-submit reconciliation.

Free download, no email required: grantpipe.com/free/sf-425-reporting-checklist."
2026-06-03_09-00_wed-04,2026-06-03 09:00,2026-06-03T13:00:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P3,C,m,none,,product-marketing context; donor-to-grant reconciliation template,Development to Finance handoff,passed,passed,content/social/linkedin/2026-W23/2026-06-03_09-00_wed-04.txt,"Development can own the relationship without owning every compliance detail.

Finance can own the ledger without owning every funder note.

The handoff breaks when each team has a partial truth:

- full award in the CRM
- cash receipt in accounting
- report deadline in a spreadsheet
- evidence in a drive folder

Put the shared facts in one grant record, then let each team work from its own view."
2026-06-03_09-45_wed-05,2026-06-03 09:45,2026-06-03T13:45:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P1,L,l,none,,SF-425 reporting checklist; federal grant draw tracking workflow,SF-425 cash drawn vs GL quick check,passed,passed,content/social/linkedin/2026-W23/2026-06-03_09-45_wed-05.txt,"Before submitting an SF-425, reconcile three stories.

1. The grant ledger

This is the spending story. It should show cumulative expenditures from the beginning of the period of performance through the reporting date.

2. The draw history

This is the cash story. It should show cumulative federal cash received through PMS, ASAP, or the agency payment portal.

3. The award record

This is the permission story. It should show authorized federal funds, budget changes, match requirements, program income treatment, and period dates.

The SF-425 sits where those stories meet.

The federal expenditure field should come from cumulative federal expenditures, not current-quarter activity.

The unliquidated obligations field should include actual commitments, not future plans.

The program income field should not be blank if program income exists.

The report is short. The support behind it is where the discipline lives."
2026-06-03_10-30_wed-06,2026-06-03 10:30,2026-06-03T14:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P4,D,m,none,,federal grant reporting requirements guide; product-context,Grants.gov boundary,passed,passed,content/social/linkedin/2026-W23/2026-06-03_10-30_wed-06.txt,"Grants.gov helps you find and apply for federal opportunities.

It does not manage the award after it lands.

Post-award work moves into agency systems, payment systems, reporting portals, local files, and the accounting ledger.

That is why GrantPipe treats Grants.gov search as one part of the pipeline, not the whole grant lifecycle."
2026-06-03_11-15_wed-07,2026-06-03 11:15,2026-06-03T15:15:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P1,D,m,none,,2 CFR 200.430; grant documentation checklist,source-heavy compliance,passed,passed,content/social/linkedin/2026-W23/2026-06-03_11-15_wed-07.txt,"Time and effort records should account for the full compensated activity of staff charged to federal awards.

That is the 2 CFR 200.430 point that gets missed when teams only track the grant-funded slice.

If someone splits time across Clinic Capacity, Youth STEM, and general operations, the record should show the split.

A budget estimate is not the same as after-the-fact support."
2026-06-03_12-00_wed-08,2026-06-03 12:00,2026-06-03T16:00:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P5,C,s,none,,donor thank you letter template pack; writer brief,ICP work life,passed,passed,content/social/linkedin/2026-W23/2026-06-03_12-00_wed-08.txt,"A donor thank-you note should not need a dashboard.

It should need attention.

Use the program name.

Reference the gift purpose.

Name the next honest milestone.

Do not turn every thank-you into a mini annual report.

The better letter tells the donor where their money is going and leaves room for a real follow-up later."
2026-06-03_12-45_wed-09,2026-06-03 12:45,2026-06-03T16:45:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P2,D,s,none,,FASB ASC 958 guide,restricted fund definition,passed,passed,content/social/linkedin/2026-W23/2026-06-03_12-45_wed-09.txt,"Restricted cash can make an organization look more comfortable than it is.

A board packet that shows cash without restriction context can hide the real operating question:

How much is available for general expenditure within the next year?

ASC 958 liquidity disclosures exist for that reason.

Cash balance first. Restriction status right next to it."
2026-06-03_13-30_wed-10,2026-06-03 13:30,2026-06-03T17:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P7,L,m,lead_magnet,https://grantpipe.com/free/grant-reporting-deadlines-tracker,lead magnet: grant-reporting-deadlines-tracker,lead-magnet teaser,passed,passed,content/social/linkedin/2026-W23/2026-06-03_13-30_wed-10.txt,"Grant reporting dates should not live in one person's calendar.

The Grant Reporting Deadlines Tracker is built for a shared view:

- funder
- award
- report type
- due date
- owner
- portal
- evidence needed
- submitted date

Free download, no email required: grantpipe.com/free/grant-reporting-deadlines-tracker."
2026-06-03_14-30_wed-11,2026-06-03 14:30,2026-06-03T18:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P3,C,s,none,,product-marketing context,donor plus grant unification,passed,passed,content/social/linkedin/2026-W23/2026-06-03_14-30_wed-11.txt,"When a funder is both a donor relationship and a grant record, do not make staff choose one identity.

The relationship history matters.

The award terms matter.

The restriction matters.

The reporting calendar matters.

One record can carry the shared facts while Development and Finance each see the fields they need to do their work."
2026-06-03_15-30_wed-12,2026-06-03 15:30,2026-06-03T19:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P1,D,m,none,,2 CFR 200.332; uniform guidance guide,source-heavy compliance,passed,passed,content/social/linkedin/2026-W23/2026-06-03_15-30_wed-12.txt,"Subrecipient monitoring is not a vibe.

Under 2 CFR 200.332, pass-through entities have to evaluate risk, include required award information, monitor activity, review reports, and follow up when issues appear.

A monthly call may be useful.

It becomes evidence only when the review, decision, and follow-up are documented."
2026-06-03_16-30_wed-13,2026-06-03 16:30,2026-06-03T20:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P6,F,m,none,,product-marketing context,build-in-public data shape,passed,passed,content/social/linkedin/2026-W23/2026-06-03_16-30_wed-13.txt,"We keep grants and restricted funds separate in GrantPipe because they answer different questions.

A grant asks: who awarded it, what are the dates, what must be reported, what evidence supports it?

A fund asks: what money is restricted, how was it spent, what has been released, what remains?

Blending those records feels simpler at setup.

It gets expensive at reconciliation."
2026-06-03_18-30_wed-14,2026-06-03 18:30,2026-06-03T22:30:00.000Z,America/New_York,linkedin,GrantPipe company page,post,,"{""__type"":""linkedin-page"",""post_as_images_carousel"":false}",P7,L,m,lead_magnet,https://grantpipe.com/free/award-setup-worksheet,lead magnet: award-setup-worksheet,lead-magnet teaser,passed,passed,content/social/linkedin/2026-W23/2026-06-03_18-30_wed-14.txt,"Award setup is where later reporting either gets easier or harder.

The Award Setup Worksheet captures the basics before the grant starts moving:

- funder
- award number
- period of performance
- budget lines
- restrictions
- reporting dates
- portal owner
- evidence folders

Free download, no email required: grantpipe.com/free/award-setup-worksheet."
