slug,collection,funnel_stage,state,primary_keyword,search_volume,word_count_target,piece_type
wisconsin-nonprofit-startup-guide,guides,tofu,"Wisconsin","how to start a nonprofit in wisconsin",110,1500,guide
wisconsin-charitable-registration-workflow,workflows,mofu,"Wisconsin","wisconsin charitable registration",90,1800,workflow
oregon-nonprofit-startup-guide,guides,tofu,"Oregon","how to start a nonprofit in oregon",170,1500,guide
oregon-charitable-registration-workflow,workflows,mofu,"Oregon","oregon ct-12",260,1800,workflow
connecticut-nonprofit-startup-guide,guides,tofu,"Connecticut","how to start a nonprofit in connecticut",10,1500,guide
connecticut-charitable-registration-workflow,workflows,mofu,"Connecticut","connecticut charitable registration",30,1800,workflow
kentucky-nonprofit-startup-guide,guides,tofu,"Kentucky","how to start a nonprofit in kentucky",70,1500,guide
kentucky-charitable-registration-workflow,workflows,mofu,"Kentucky","kentucky charitable registration",30,1800,workflow
top-foundation-grants-northeast,listicles,tofu,"Northeast","nonprofit grants northeast",0,2500,regional-listicle
top-foundation-grants-midwest,listicles,tofu,"Midwest","nonprofit grants midwest",0,2500,regional-listicle
top-foundation-grants-south,listicles,tofu,"South","nonprofit grants south",0,2500,regional-listicle
top-foundation-grants-west,listicles,tofu,"West","nonprofit grants west",0,2500,regional-listicle
top-foundation-grants-pacific-northwest,listicles,tofu,"Pacific Northwest","nonprofit grants pacific northwest",0,2500,regional-listicle
top-foundation-grants-new-england,listicles,tofu,"New England","new england foundation grants nonprofits",0,2500,regional-listicle
top-foundation-grants-mid-atlantic,listicles,tofu,"Mid-Atlantic","nonprofit grants mid-atlantic",0,2500,regional-listicle
top-foundation-grants-southeast,listicles,tofu,"Southeast","nonprofit grants southeast",0,2500,regional-listicle
top-foundation-grants-southwest,listicles,tofu,"Southwest","nonprofit grants southwest",0,2500,regional-listicle
top-foundation-grants-mountain-west,listicles,tofu,"Mountain West","nonprofit grants mountain west",0,2500,regional-listicle
california-nonprofit-faq,faq-hubs,tofu,"California","california charitable solicitation registration",50,1200,faq-hub
texas-nonprofit-faq,faq-hubs,tofu,"Texas","texas charitable solicitation registration",40,1200,faq-hub
new-york-nonprofit-faq,faq-hubs,tofu,"New York","new york charitable solicitation registration",30,1200,faq-hub
florida-nonprofit-faq,faq-hubs,tofu,"Florida","florida charitable solicitation registration",140,1200,faq-hub
illinois-nonprofit-faq,faq-hubs,tofu,"Illinois","illinois 501c3 requirements",40,1200,faq-hub
pennsylvania-nonprofit-faq,faq-hubs,tofu,"Pennsylvania","pennsylvania charitable solicitation registration",30,1200,faq-hub
ohio-nonprofit-faq,faq-hubs,tofu,"Ohio","ohio 501c3 requirements",10,1200,faq-hub
georgia-nonprofit-faq,faq-hubs,tofu,"Georgia","georgia charitable solicitation registration",70,1200,faq-hub
north-carolina-nonprofit-faq,faq-hubs,tofu,"North Carolina","north carolina charitable solicitation registration",40,1200,faq-hub
massachusetts-nonprofit-faq,faq-hubs,tofu,"Massachusetts","massachusetts charitable solicitation registration",20,1200,faq-hub
